wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3894.83081055
1000.0        3894.83081055
1500.0        3894.83081055
2000.0        3894.83081055
2500.0        3894.83081055
3000.0        3894.83081055
3500.0        3894.83081055
4000.0        3894.83081055
4500.0        3894.83081055
5000.0        3894.83081055
5500.0        4014.05539637
6000.0        4763.43558221
6500.0        5143.70034487
7000.0        5867.01094696
7500.0        6468.15271624
8000.0        6896.84679891
8500.0        7456.62456176
9000.0        8170.50959335
9500.0        8969.68606509
10000.0        9647.31603771
10500.0        10575.6280282
11000.0        11103.8033575
11500.0        11470.7482354
12000.0        11828.0327618
12500.0        12125.7128243
13000.0        12145.5951751
13500.0        12145.5951751
14000.0        12145.5951751
14500.0        12145.5951751
15000.0        12145.5951751
15500.0        12145.5951751
16000.0        12145.5951751
16500.0        12145.5951751
17000.0        12145.5951751
17500.0        12145.5951751
18000.0        12145.5951751
18500.0        12145.5951751
19000.0        12145.5951751
19500.0        12145.5951751
20000.0        12145.5951751
