wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1491.79858398
1000.0        1491.79858398
1500.0        1491.79858398
2000.0        1491.79858398
2500.0        1717.20798995
3000.0        2270.88808241
3500.0        2886.10435915
4000.0        3552.26958563
4500.0        4183.29562667
5000.0        4405.60161776
5500.0        5681.62472872
6000.0        6813.11741553
6500.0        7298.28154009
7000.0        7761.57395211
7500.0        7761.57395211
8000.0        7761.57395211
8500.0        7761.57395211
9000.0        7761.57395211
9500.0        7761.57395211
10000.0        7761.57395211
10500.0        7761.57395211
11000.0        7761.57395211
11500.0        7761.57395211
12000.0        7761.57395211
12500.0        7761.57395211
13000.0        7761.57395211
13500.0        7761.57395211
14000.0        7761.57395211
14500.0        7761.57395211
15000.0        7761.57395211
15500.0        7761.57395211
16000.0        7761.57395211
16500.0        7761.57395211
17000.0        7761.57395211
17500.0        7761.57395211
18000.0        7761.57395211
18500.0        7761.57395211
19000.0        7761.57395211
19500.0        7761.57395211
20000.0        7761.57395211
